airport,type,city,country,iata,icao,faa
Anaa,Medium,,French,AAA,NTGA,
Arrabury,Small,,Australia,AAB,YARY,
El Arish International,Medium,El,Egypt,AAC,HEAR,
"Ad-Dabbah
Closed",Closed,Ad-Dabbah,Sudan,AAD,,
Rabah Bitat,Medium,Annaba,Algeria,AAE,DABB,
Apalachicola Regional,Small,Apalachicola,United,AAF,KAAF,AAF
Arapoti,Small,Arapoti,Brazil,AAG,SSYA,
Aachen-Merzbrück,Small,Aachen,Germany,AAH,EDKA,
Arraias,Small,Arraias,Brazil,AAI,SWRA,
Cayana Airstrip,Small,Awaradam,Suriname,AAJ,SMCA,
Buariki,Small,Buariki,Kiribati,AAK,NGUK,
Aalborg,Large,Aalborg,Denmark,AAL,EKYT,
Malamala,Medium,Malamala,South,AAM,FAMD,
Al Ain International,Medium,Al,United,AAN,OMAL,
Anaco,Medium,Anaco,Venezuela,AAO,SVAN,
Airport,Type,City,Country,IATA,ICAO,FAA
"Andrau Airpark
Closed",Closed,Houston,United,AAP,KAAP,
Anapa Vityazevo,Medium,Anapa,Russia,AAQ,URKA,
Aarhus,Medium,Aarhus,Denmark,AAR,EKAH,
Apalapsili,Small,Apalapsili,Indonesia,AAS,,
Altay Air Base,Medium,Altay,China,AAT,ZWAT,
Asau,Small,Asau,Samoa,AAU,NSAU,
Allah Valley,Medium,Surallah,Philippines,AAV,RPMA,
Abbottabad,Small,Abbottabad,Pakistan,AAW,OPAB,
Romeu Zema,Small,Araxá,Brazil,AAX,SBAX,
Al Ghaidah International,Medium,,Yemen,AAY,OYGD,
Quezaltenango,Small,Quezaltenango,Guatemala,AAZ,MGQZ,
Abakan,Medium,Abakan,Russia,ABA,UNAA,
Asaba International,Medium,Asaba,Nigeria,ABB,DNAS,
Albacete-Los Llanos,Medium,Albacete,Spain,ABC,LEAB,
Abadan,Medium,Abadan,Iran,ABD,OIAA,
Airport,Type,City,Country,IATA,ICAO,FAA
Lehigh Valley International,Medium,Allentown,United,ABE,KABE,ABE
Abaiang,Small,Abaiang,Kiribati,ABF,NGAB,
Abingdon Downs,Small,,Australia,ABG,YABI,
Alpha,Medium,Alpha,Australia,ABH,YAPH,
Abilene Regional,Medium,Abilene,United,ABI,KABI,ABI
Port Bouet,Medium,Abidjan,Côte,ABJ,DIAP,
Kabri Dehar,Small,Kabri,Ethiopia,ABK,HAKD,
Ambler,Medium,Ambler,United,ABL,PAFM,AFM
Northern Peninsula,Small,Bamaga,Australia,ABM,YNPE,
Albina,Small,Albina,Suriname,ABN,SMBN,
"Aboisso
Closed",Closed,Aboisso,Côte,ABO,,
Albuquerque International Sunport,Large,Albuquerque,United,ABQ,KABQ,ABQ
Aberdeen Regional,Medium,Aberdeen,United,ABR,KABR,ABR
Abu Simbel,Medium,Abu,Egypt,ABS,HEBL,
Al Baha,Medium,,Saudi,ABT,OEBA,
Airport,Type,City,Country,IATA,ICAO,FAA
Haliwen,Small,Atambua-Timor,Indonesia,ABU,WATA,
Nnamdi Azikiwe International,Large,Abuja,Nigeria,ABV,DNAA,
"Abau
Closed",Closed,Abau,Papua,ABW,,
Albury,Medium,Albury,Australia,ABX,YMAY,
Southwest Georgia Regional,Medium,Albany,United,ABY,KABY,ABY
Aberdeen Dyce,Large,Aberdeen,United,ABZ,EGPD,
General Juan N Alvarez International,Large,Acapulco,Mexico,ACA,MMAA,
Antrim County,Small,Bellaire,United,ACB,KACB,ACB
Kotoka International,Large,Accra,Ghana,ACC,DGAA,
Alcides Fernández,Small,Acandí,Colombia,ACD,SKAD,
Lanzarote,Medium,Lanzarote,Spain,ACE,GCRR,
Brisbane Archerfield,Small,Brisbane,Australia,ACF,YBAF,
St Gallen Altenrhein,Medium,Altenrhein,Switzerland,ACH,LSZR,
Alderney,Medium,Saint,Guernsey,ACI,EGJA,
Anuradhapura Air Force Base,Medium,Anuradhapura,Sri,ACJ,VCCA,
Airport,Type,City,Country,IATA,ICAO,FAA
Nantucket Memorial,Medium,Nantucket,United,ACK,KACK,ACK
Aguaclara,Small,Aguaclara,Colombia,ACL,,
Arica,Small,Arica,Colombia,ACM,,
Ciudad Acuña New International,Small,Ciudad,Mexico,ACN,MMCC,
"Ascona
Closed",Closed,Ascona,Switzerland,ACO,LSZD,
Sahand,Small,Maragheh,Iran,ACP,OITM,
Araracuara,Small,Araracuara,Colombia,ACR,SKAC,
Achinsk,Medium,Achinsk,Russia,ACS,UNKS,
Waco Regional,Medium,Waco,United,ACT,KACT,ACT
Achutupo,Small,Achutupo,Panama,ACU,,
Arcata,Medium,Arcata/Eureka,United,ACV,KACV,ACV
Xingyi,Medium,Xingyi,China,ACX,ZUYI,
Atlantic City International,Medium,Atlantic,United,ACY,KACY,ACY
Zabol,Medium,,Iran,ACZ,OIZB,
Adana,Large,Adana,Turkey,ADA,LTAF,
Airport,Type,City,Country,IATA,ICAO,FAA
Adnan Menderes International,Large,İzmir,Turkey,ADB,LTBJ,
Addis Ababa Bole International,Large,Addis,Ethiopia,ADD,HAAB,
Aden International,Medium,Aden,Yemen,ADE,OYAA,
Adıyaman,Medium,Adıyaman,Turkey,ADF,LTCP,
Lenawee County,Small,Adrian,United,ADG,KADG,ADG
Aldan,Small,Aldan,Russia,ADH,UEEA,
Arandis,Medium,Arandis,Namibia,ADI,FYAR,
Amman-Marka International,Medium,Amman,Jordan,ADJ,OJAM,
Adak,Medium,Adak,United,ADK,PADK,ADK
Adelaide International,Medium,Adelaide,Australia,ADL,YPAD,
Ardmore Municipal,Small,Ardmore,United,ADM,KADM,ADM
Andes,Small,Andes,Colombia,ADN,SKAN,
Andamooka,Small,,Australia,ADO,YAMK,
Ampara,Medium,Ampara,Sri,ADP,VCCG,
Kodiak,Medium,Kodiak,United,ADQ,PADQ,ADQ
Airport,Type,City,Country,IATA,ICAO,FAA
Robert F Swinnie,Small,Andrews,United,ADR,KPHH,PHH
Addison,Small,Dallas,United,ADS,KADS,ADS
Ada Regional,Small,Ada,United,ADT,KADH,ADH
Ardabil,Medium,Ardabil,Iran,ADU,OITL,
Andrews Air Force Base,Large,Camp,United,ADW,KADW,ADW
RAF Leuchars,Medium,St.,United,ADX,EGQL,
Alldays,Small,Alldays,South,ADY,FAAL,
Gustavo Rojas Pinilla International,Medium,San,Colombia,ADZ,SKSP,
Abemama Atoll,Small,Abemama,Kiribati,AEA,NGTB,
Baise Youjiang,Medium,Baise,China,AEB,ZGBS,
"Aleneva
Closed",Closed,Aleneva,United,AED,,
Adareil,Small,,South,AEE,,
Aek Godang,Medium,Padang,Indonesia,AEG,WIME,
Abeche,Medium,,Chad,AEH,FTTC,
Algeciras,Heliport,Algeciras,Spain,AEI,LEAG,
Aseki,Small,Aseki,Papua,AEK,AYAX,
Albert Lea Municipal,Small,Albert,United,AEL,KAEL,AEL
Aioun el Atrouss,Small,Aioun,Mauritania,AEO,GQNA,
Jorge Newbery Airpark,Medium,Buenos,Argentina,AEP,SABE,
Sochi International,Large,Sochi,Russia,AER,URSS,
Ålesund,Medium,Ålesund,Norway,AES,ENAL,
Allakaket,Small,Allakaket,United,AET,PFAL,6A8
Abumusa Island,Medium,,Iran,AEU,OIBA,
Alexandria International,Medium,Alexandria,United,AEX,KAEX,AEX
Akureyri,Medium,Akureyri,Iceland,AEY,BIAR,
Airport,Type,City,Country,IATA,ICAO,FAA
Suboficial Ay Santiago Germano,Medium,San,Argentina,AFA,SAMR,
Port Alfred,Small,Port,South,AFD,FAPA,
USAF Academy Airfield,Small,Colorado,United,AFF,KAFF,AFF
Amalfi,Small,Amalfi,Colombia,AFI,SKAM,
Kondavattavana Tank,Seaplane,Ampara,Sri,AFK,,
Piloto Osvaldo Marques Dias,Medium,Alta,Brazil,AFL,SBAT,
Jaffrey Silver Ranch,Small,Jaffrey,United,AFN,KAFN,AFN
Afton Municipal,Small,Afton,United,AFO,KAFO,AFO
Afore Airstrip,Small,,Papua,AFR,AYAF,
Sugraly,Small,Zarafshan,Uzbekistan,AFS,UTSN,
Afutara Aerodrome,Small,Bila,Solomon,AFT,AGAF,
Fort Worth Alliance,Large,Fort,United,AFW,KAFW,AFW
Afyon,Medium,Afyonkarahisar,Turkey,AFY,LTAH,
Sabzevar National,Medium,Sabzevar,Iran,AFZ,OIMS,
Al Massira,Medium,Agadir,Morocco,AGA,GMAD,AGA
Airport,Type,City,Country,IATA,ICAO,FAA
Augsburg,Medium,Augsburg,Germany,AGB,EDMA,
Allegheny County,Medium,Pittsburgh,United,AGC,KAGC,AGC
